COG_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	function_accession	gene_clusters_ids	p_Host	p_Environment	N_Host	N_Environment
ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component	19.894700735229186	8.182682778771639e-6	4.806741655186997e-4	Environment	COG0715	GC_00001700, GC_00002933, GC_00005086, GC_00005163, GC_00007685, GC_00009326, GC_00012459, GC_00012703, GC_00014292, GC_00017995, GC_00019272, GC_00020486, GC_00023719, GC_00028883, GC_00029270, GC_00030065, GC_00032104, GC_00032213, GC_00032823, GC_00033118, GC_00034538, GC_00039292	0.28	0.8571	50	21
Kynurenine formamidase	19.695949941101265	9.079358568283732e-6	5.185322560108709e-4	Environment	COG1878	GC_00004361, GC_00004542, GC_00006478, GC_00006640, GC_00010275, GC_00013386, GC_00023077, GC_00024938, GC_00032100, GC_00035637	0.14	0.6667	50	21
MFS-type transporter involved in bile tolerance, Atg22 family	19.417690249396163	1.0502966831620473e-5	5.836243190759916e-4	Environment	COG2270	GC_00001229, GC_00002280, GC_00003816, GC_00012007, GC_00020734	0.44	1	50	21
Uncharacterized conserved protein PhnB, glyoxalase superfamily	18.874121865706854	1.3963411147931332e-5	7.554940347407058e-4	Environment	COG2764	GC_00002812, GC_00003003, GC_00003844, GC_00004151, GC_00007353, GC_00007582, GC_00008939, GC_00010076, GC_00010393, GC_00010509, GC_00013283, GC_00014816, GC_00019027, GC_00019605, GC_00023349, GC_00030852, GC_00031532, GC_00038382, GC_00038788, GC_00039115, GC_00040313	0.34	0.9048	50	21
Predicted transcriptional regulator	18.487532824269138	1.7101935346893337e-5	8.436869794465802e-4	Environment	COG4190	GC_00006502, GC_00007079, GC_00032326, GC_00035978	0	0.3333	50	21
SPX domain-containing protein involved in vacuolar polyphosphate accumulation	18.487532824269138	1.7101935346893337e-5	8.436869794465802e-4	Environment	COG5036	GC_00005128, GC_00012944	0	0.3333	50	21
Ca2+/Na+ antiporter	18.487532824269138	1.7101935346893337e-5	8.436869794465802e-4	Environment	COG0530	GC_00004547, GC_00009126, GC_00017894	0	0.3333	50	21
Thiosulfate reductase cytochrome b subunit	18.450918442304037	1.7433679147822118e-5	8.436869794465802e-4	Environment	COG4117	GC_00001330	0.3	0.8571	50	21
Glyoxalase superfamily enzyme, possibly 3-demethylubiquinone-9 3-methyltransferase	18.42793612432127	1.7645204336674586e-5	8.436869794465802e-4	Environment	COG3865	GC_00002164, GC_00002490, GC_00004353, GC_00016886, GC_00019137, GC_00026899	0.22	0.7619	50	21
DNA-binding transcriptional regulator LsrR, DeoR family	18.345711801118984	1.84233181121168e-5	8.608714099661851e-4	Host	COG2390	GC_00001459, GC_00013870, GC_00028662, GC_00029054, GC_00029667	0.6	0.0476	50	21
Peptidase E	18.0469949734752	2.1551854792735527e-5	9.84680298974761e-4	Environment	COG3340	GC_00002338, GC_00008472, GC_00013388, GC_00032764	0.1	0.5714	50	21
Signal transduction histidine kinase involved in nitrogen fixation and metabolism regulation	17.40969367577948	3.0128551779217617e-5	0.0013179638820866259	Environment	COG5000	GC_00005092, GC_00006194	0.02	0.381	50	21
Two-component response regulator, FixJ family, consists of REC and HTH domains	17.40969367577948	3.0128551779217617e-5	0.0013179638820866259	Environment	COG4566	GC_00002732	0.02	0.381	50	21
2-Methylisocitrate lyase and related enzymes, PEP mutase family	17.179883576556087	3.400179551053864e-5	0.0014564102410347384	Environment	COG2513	GC_00001189, GC_00002242, GC_00014138, GC_00016626, GC_00025855	0.42	0.9524	50	21
ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	17.09535974369127	3.554905492677748e-5	0.0014617771385890901	Environment	COG1116	GC_00001617, GC_00003104, GC_00003558, GC_00004578, GC_00008685, GC_00008983, GC_00009167, GC_00010788, GC_00011414, GC_00012005, GC_00014286, GC_00016513, GC_00022430, GC_00022563, GC_00024637, GC_00025290, GC_00032279, GC_00033540, GC_00037023	0.32	0.8571	50	21
ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	17.09535974369127	3.554905492677748e-5	0.0014617771385890901	Environment	COG0600	GC_00001658, GC_00002656, GC_00004035, GC_00004802, GC_00007412, GC_00009103, GC_00012023, GC_00012246, GC_00013260, GC_00013366, GC_00014462, GC_00016074, GC_00016563, GC_00020007, GC_00020822, GC_00021481, GC_00025975, GC_00026671, GC_00027550, GC_00030050, GC_00033364, GC_00038797, GC_00041988	0.32	0.8571	50	21
Ferredoxin	17.05651268433306	3.6283723080208364e-5	0.0014627320520178117	Environment	COG0633	GC_00002980, GC_00004080, GC_00005637, GC_00013740, GC_00021208, GC_00035882	0.04	0.4286	50	21
Succinyl-CoA synthetase, beta subunit	16.769970617208433	4.219580510362733e-5	0.0016683572171741884	Environment	COG0045	GC_00001770, GC_00023263	0.14	0.619	50	21
Regulator of RNase E activity RraA	16.37336667371184	5.2010952004276164e-5	0.0020176324022790904	Environment	COG0684	GC_00001319, GC_00005561, GC_00007128, GC_00035661, GC_00035717	0.38	0.9048	50	21
Gentisate 1,2-dioxygenase	15.923363957872356	6.595945409143485e-5	0.0025113451409627787	Environment	COG3435	GC_00001861	0.12	0.5714	50	21
HD superfamily phosphodieaserase, includes HD domain of RNase Y	15.603543929532869	7.810805879915317e-5	0.0027267831613832063	Environment	COG1418	GC_00003758	0	0.2857	50	21
ABC-type branched-chain amino acid transport system, permease component	15.603543929532869	7.810805879915317e-5	0.0027267831613832063	Environment	COG4177	GC_00003597	0	0.2857	50	21
ABC-type branched-chain amino acid transport system, ATPase component	15.603543929532869	7.810805879915317e-5	0.0027267831613832063	Environment	COG0410	GC_00004266	0	0.2857	50	21
Branched-chain amino acid ABC-type transport system, permease component	15.603543929532869	7.810805879915317e-5	0.0027267831613832063	Environment	COG0559	GC_00004230	0	0.2857	50	21
Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit	15.568353679756644	7.957538408705854e-5	0.0027267831613832063	Environment	COG4638	GC_00001834, GC_00002832, GC_00003184, GC_00003188, GC_00008129, GC_00008492, GC_00008695, GC_00011634, GC_00034144	0.22	0.7143	50	21
Calcineurin-like phosphoesterase superfamily protein	15.568353679756644	7.957538408705854e-5	0.0027267831613832063	Environment	COG4186	GC_00001780, GC_00006950, GC_00007837, GC_00013841, GC_00018882	0.22	0.7143	50	21
Nucleoside permease NupC	15.227452174558689	9.530784210050326e-5	0.003169551667357107	Host	COG1972	GC_00001551	0.48	0	50	21
Lipoate-protein ligase A	15.222069649710086	9.557986545532133e-5	0.003169551667357107	Environment	COG0095	GC_00001327, GC_00004845, GC_00030215	0.4	0.9048	50	21
Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit	15.012728798050173	1.0678845696385752e-4	0.003430579179963923	Environment	COG1788	GC_00001311, GC_00001739, GC_00012606	0.46	0.9524	50	21
Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains	15.012728798050173	1.0678845696385752e-4	0.003430579179963923	Environment	COG1875	GC_00001151	0.46	0.9524	50	21
Succinyl-CoA synthetase, alpha subunit	14.958769428506503	1.0988615254281402e-4	0.0034757835327388557	Environment	COG0074	GC_00001735	0.16	0.619	50	21
Uncharacterized membrane protein YvlD, DUF360 family	14.620570491295693	1.314716166337863e-4	0.004095540057561586	Environment	COG1950	GC_00002080, GC_00003012, GC_00004918, GC_00007950, GC_00022768, GC_00023907, GC_00025973, GC_00028877, GC_00034330, GC_00041582	0.36	0.8571	50	21
Putative Mn2+ efflux pump MntP	14.520273114217572	1.3865930240354593e-4	0.004192404790318977	Environment	COG1971	GC_00004726, GC_00010492, GC_00015441	0.02	0.3333	50	21
Uncharacterized protein YjbI, contains pentapeptide repeats	14.520273114217572	1.3865930240354593e-4	0.004192404790318977	Environment	COG1357	GC_00006873, GC_00007973, GC_00014369, GC_00036711, GC_00041134	0.02	0.3333	50	21
TRAP-type C4-dicarboxylate transport system, periplasmic component	14.394876859547939	1.482049715667585e-4	0.00429168199353881	Environment	COG1638	GC_00002351, GC_00003432, GC_00005114, GC_00005744, GC_00008419, GC_00009635, GC_00012113, GC_00026075, GC_00031989, GC_00033976, GC_00038772, GC_00039895	0.2	0.6667	50	21
Putative exporter of polyketide antibiotics	14.394876859547939	1.482049715667585e-4	0.00429168199353881	Environment	COG3559	GC_00005003, GC_00005921, GC_00006183, GC_00006216, GC_00010623, GC_00012770, GC_00013090, GC_00019180, GC_00019443, GC_00019554, GC_00023295, GC_00026567, GC_00027942, GC_00028708, GC_00029079, GC_00031149, GC_00031360, GC_00036899, GC_00039166, GC_00039836, GC_00041273, GC_00041957	0.2	0.6667	50	21
Uncharacterized conserved protein YkwD, contains CAP (CSP/antigen 5/PR1) domain	14.394876859547939	1.482049715667585e-4	0.00429168199353881	Environment	COG2340	GC_00004882, GC_00008386, GC_00012342, GC_00013217, GC_00014010, GC_00015157, GC_00017476, GC_00022195, GC_00026142, GC_00026668, GC_00028960, GC_00029931, GC_00031138, GC_00033552, GC_00036450, GC_00036612, GC_00037488, GC_00038288, GC_00041858	0.2	0.6667	50	21
ABC-type uncharacterized transport system, periplasmic component	14.11677830461312	1.7180448269338023e-4	0.004814818402824726	Environment	COG2984	GC_00001501	0.24	0.7143	50	21
Superfamily II DNA helicase RecQ	14.07527139362415	1.7563783084234168e-4	0.004814818402824726	Environment	COG0514	GC_00001609, GC_00003462, GC_00040714	0.28	0.7619	50	21
Hydroxyethylthiazole kinase, sugar kinase family	14.07527139362415	1.7563783084234168e-4	0.004814818402824726	Environment	COG2145	GC_00001872, GC_00006071, GC_00015491, GC_00016129, GC_00022548, GC_00026461, GC_00035509, GC_00037987, GC_00038314, GC_00041456	0.28	0.7619	50	21
HAMP domain	14.07527139362415	1.7563783084234168e-4	0.004814818402824726	Environment	COG2770	GC_00001413, GC_00005363, GC_00006920, GC_00015632, GC_00021915	0.28	0.7619	50	21
Predicted histidine transporter YuiF, NhaC family	13.48914257784206	2.39947813709721e-4	0.006406918246586863	Host	COG2056	GC_00001288	0.62	0.1429	50	21
Heat shock protein HslJ	13.489142577842053	2.39947813709722e-4	0.006406918246586863	Environment	COG3187	GC_00003090, GC_00003689, GC_00007234, GC_00007691, GC_00008464, GC_00008684, GC_00008817, GC_00010502, GC_00012032, GC_00012832, GC_00013512, GC_00015196, GC_00016856, GC_00020570, GC_00022423, GC_00023373, GC_00024877, GC_00028342, GC_00030479, GC_00030820, GC_00042063	0.38	0.8571	50	21
Hydroxypyruvate isomerase	13.328118419174526	2.6145573903094794e-4	0.0067194124930953615	Environment	COG3622	GC_00003702, GC_00005377, GC_00006737, GC_00007111, GC_00010771, GC_00013862, GC_00019540, GC_00019621, GC_00023013	0.18	0.619	50	21
Uncharacterized membrane protein YczE	13.328118419174526	2.6145573903094794e-4	0.0067194124930953615	Environment	COG2364	GC_00003657, GC_00004386, GC_00008273, GC_00008638, GC_00011715, GC_00011741, GC_00013144, GC_00017115, GC_00020212, GC_00025781, GC_00026348, GC_00034619, GC_00041018	0.18	0.619	50	21
3-phenylpropionate/cinnamic acid dioxygenase, small subunit	13.328118419174526	2.6145573903094794e-4	0.0067194124930953615	Environment	COG5517	GC_00001835, GC_00002885, GC_00003485, GC_00008358, GC_00010996, GC_00021074	0.18	0.619	50	21
Cytosine/adenosine deaminase or related metal-dependent hydrolase	13.241713690530782	2.7378748966585945e-4	0.006949470108061816	Environment	COG0402	GC_00003101, GC_00003373, GC_00006168, GC_00007779, GC_00009264, GC_00020035, GC_00028469, GC_00032127, GC_00033603, GC_00040238, GC_00041634	0.12	0.5238	50	21
Acyl CoA:acetate/3-ketoacid CoA transferase, beta subunit	13.040985776070045	3.047476483557725e-4	0.007548929699029738	Environment	COG2057	GC_00000797, GC_00010991	0.5	0.9524	50	21
NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family	13.040985776070045	3.047476483557725e-4	0.007548929699029738	Environment	COG1853	GC_00002726, GC_00002767, GC_00003492, GC_00004795, GC_00005491, GC_00006035, GC_00006122, GC_00006352, GC_00006807, GC_00007694, GC_00007820, GC_00007829, GC_00008375, GC_00008641, GC_00009756, GC_00010457, GC_00010487, GC_00011446, GC_00017637, GC_00020056, GC_00022528, GC_00029202, GC_00029855, GC_00032978, GC_00034488, GC_00035511, GC_00037970, GC_00041163	0.5	0.9524	50	21
Sugar (pentulose or hexulose) kinase	12.826914575072507	3.416687107297148e-4	0.008161156894778194	Environment	COG1070	GC_00001918, GC_00001952, GC_00013668, GC_00014201, GC_00015240, GC_00017477, GC_00021116, GC_00021705, GC_00027469, GC_00027606, GC_00029210, GC_00029889, GC_00033004, GC_00039202, GC_00041442	0.3	0.7619	50	21
Acyl CoA:acetate/3-ketoacid CoA transferase	12.80691373153264	3.4534078299888266e-4	0.008161156894778194	Environment	COG4670	GC_00008547, GC_00013175	0	0.2381	50	21
Peptide chain release factor 1 (eRF1)	12.80691373153264	3.4534078299888266e-4	0.008161156894778194	Environment	COG1503	GC_00006510, GC_00018138	0	0.2381	50	21
Beta-xylosidase	12.80691373153264	3.4534078299888266e-4	0.008161156894778194	Environment	COG3664	GC_00004155	0	0.2381	50	21
Sugar phosphate isomerase/epimerase	12.560646367889047	3.939554630029427e-4	0.00910081384195562	Environment	COG1082	GC_00002440, GC_00002858, GC_00003193, GC_00003504, GC_00003593, GC_00004236, GC_00006147, GC_00008457, GC_00010489, GC_00041314	0.1	0.4762	50	21
HEAT repeat	12.560646367889047	3.939554630029427e-4	0.00910081384195562	Environment	COG1413	GC_00006671, GC_00007884, GC_00009718, GC_00010990, GC_00025922, GC_00028759, GC_00031013, GC_00031405	0.1	0.4762	50	21
Predicted membrane protein	12.421412823958626	4.244390195576411e-4	0.009696073602339001	Environment	COG4758	GC_00002645, GC_00003324, GC_00004039, GC_00004210, GC_00004913, GC_00010144, GC_00010145, GC_00013375, GC_00017060, GC_00019934, GC_00021503, GC_00025514, GC_00025843, GC_00028419, GC_00030052, GC_00033139, GC_00033814, GC_00034062, GC_00035031, GC_00035041, GC_00036935, GC_00037610, GC_00038543	0.4	0.8571	50	21
Diadenylate cyclase (c-di-AMP synthetase), DNA integrity scanning protein DisA	12.370412725717804	4.361911731677195e-4	0.00985504452783331	Environment	COG1623	GC_00001771	0.16	0.5714	50	21
Quinolinate synthase	12.10970755438939	5.016000161161202e-4	0.011209669925377643	Environment	COG0379	GC_00001433, GC_00002195	0.46	0.9048	50	21
Tripartite-type tricarboxylate transporter, receptor component TctC	12.014771549501779	5.278055720833195e-4	0.011668475873153816	Environment	COG3181	GC_00004269, GC_00004943, GC_00007158, GC_00007710, GC_00009975, GC_00039139	0.08	0.4286	50	21
Isocitrate lyase	11.954644537975302	5.451132615989265e-4	0.011797398587867294	Environment	COG2224	GC_00001297	0.36	0.8095	50	21
Malate synthase	11.954644537975302	5.451132615989265e-4	0.011797398587867294	Environment	COG2225	GC_00001234	0.36	0.8095	50	21
Stalled ribosome rescue protein Dom34, pelota family	11.748216064632043	6.090158272577425e-4	0.012776903477978762	Environment	COG1537	GC_00004765, GC_00024542, GC_00041752	0.02	0.2857	50	21
Predicted restriction endonuclease, Mrr-cat superfamily	11.748216064632043	6.090158272577425e-4	0.012776903477978762	Environment	COG4127	GC_00003861, GC_00007403	0.02	0.2857	50	21
Protein tyrosine/serine phosphatase	11.748216064632043	6.090158272577425e-4	0.012776903477978762	Environment	COG2365	GC_00008372, GC_00016299, GC_00019281, GC_00026839, GC_00026931	0.02	0.2857	50	21
Catechol-2,3-dioxygenase	11.638085616308935	6.461506803328965e-4	0.01328430172282691	Environment	COG2514	GC_00003341, GC_00008239, GC_00038279	0.06	0.381	50	21
Isopenicillin N synthase and related dioxygenases	11.638085616308935	6.461506803328965e-4	0.01328430172282691	Environment	COG3491	GC_00003793, GC_00004987, GC_00006269, GC_00008286, GC_00022023	0.06	0.381	50	21
Anaerobic C4-dicarboxylate transporter	11.601331725736003	6.590460971441359e-4	0.01328430172282691	Host	COG2704	GC_00001119, GC_00001665, GC_00010984	0.76	0.3333	50	21
Bacterial lipocalin	11.601331725736001	6.590460971441365e-4	0.01328430172282691	Environment	COG3040	GC_00001571, GC_00021013, GC_00028749	0.24	0.6667	50	21
Uncharacterized protein, UPF0548 family	11.544637414644388	6.79449498450858e-4	0.013292760389853855	Environment	COG4762	GC_00003053, GC_00005215, GC_00005897, GC_00008893, GC_00012105, GC_00012131, GC_00016548, GC_00020187, GC_00023326, GC_00025550, GC_00027276, GC_00028297, GC_00029455, GC_00032339, GC_00035177	0.28	0.7143	50	21
TRAP-type C4-dicarboxylate transport system, large permease component	11.544637414644388	6.79449498450858e-4	0.013292760389853855	Environment	COG1593	GC_00002288, GC_00003091, GC_00003272, GC_00004873, GC_00007048, GC_00007867, GC_00008210, GC_00010462, GC_00012050, GC_00013979, GC_00017699	0.28	0.7143	50	21
Predicted dehydrogenase	11.511005913810129	6.918532809206317e-4	0.013292760389853855	Environment	COG0673	GC_00002748, GC_00003434, GC_00003692, GC_00003759, GC_00003768, GC_00004255, GC_00007755, GC_00008333, GC_00008522, GC_00009196, GC_00010060, GC_00011792, GC_00013911, GC_00014598, GC_00031524, GC_00037340, GC_00037927, GC_00041767	0.14	0.5238	50	21
TRAP-type C4-dicarboxylate transport system, small permease component	11.511005913810129	6.918532809206317e-4	0.013292760389853855	Environment	COG3090	GC_00002428, GC_00008275, GC_00009295, GC_00015043, GC_00015856, GC_00025911, GC_00029599, GC_00035610	0.14	0.5238	50	21
Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB	11.511005913810129	6.918532809206317e-4	0.013292760389853855	Environment	COG4942	GC_00003476, GC_00003477, GC_00004954, GC_00035866	0.14	0.5238	50	21
Uncharacterized membrane protein YqiK, contains Band7/PHB/SPFH domain	11.493878322876562	6.982578414903776e-4	0.013292760389853855	Environment	COG2268	GC_00006246, GC_00006757, GC_00024268, GC_00028599	0.04	0.3333	50	21
2-methylcitrate dehydratase PrpD	11.240369041765286	8.003724045116482e-4	0.015096932694274758	Environment	COG2079	GC_00001104, GC_00002842, GC_00012618, GC_00016506, GC_00031093	0.54	0.9524	50	21
ATP-dependent exoDNAse (exonuclease V), alpha subunit, helicase superfamily I	10.914478045689194	9.541559619488196e-4	0.0178340423433343	Environment	COG0507	GC_00002697, GC_00003980, GC_00004975, GC_00006201, GC_00007591, GC_00008744, GC_00008814, GC_00009841, GC_00010034, GC_00010808, GC_00014020, GC_00014455, GC_00015332, GC_00016383, GC_00018177, GC_00018737, GC_00020069, GC_00023196, GC_00023407, GC_00025475, GC_00025606, GC_00025861, GC_00026121, GC_00027040, GC_00027705, GC_00030321, GC_00032056, GC_00033607, GC_00033684, GC_00039463, GC_00039851, GC_00041298, GC_00041729	0.38	0.8095	50	21
Kef-type K+ transport system, membrane component KefB	10.459321365974592	0.00122032101143385	0.022391436998231734	Host	COG0475	GC_00001706, GC_00002493, GC_00016654, GC_00021296, GC_00028910	0.56	0.1429	50	21
ABC-type uncharacterized transport system, permease component	10.403351246308741	0.0012578682246527897	0.022391436998231734	Environment	COG4120	GC_00001492, GC_00004996, GC_00007690	0.3	0.7143	50	21
Predicted metal-dependent hydrolase, TIM-barrel fold	10.403351246308741	0.0012578682246527897	0.022391436998231734	Environment	COG3618	GC_00002093, GC_00002853, GC_00007383, GC_00010308, GC_00010335, GC_00011232, GC_00013053, GC_00013064, GC_00014774, GC_00018088, GC_00037692, GC_00039506	0.3	0.7143	50	21
Trk K+ transport system, NAD-binding component	10.403351246308732	0.0012578682246527947	0.022391436998231734	Host	COG0569	GC_00001703, GC_00001795, GC_00017615, GC_00034959	0.7	0.2857	50	21
Cobalamin biosynthesis protein CobN, Mg-chelatase	10.39781207469708	0.0012616471527593174	0.022391436998231734	Host	COG1429	GC_00001660, GC_00018374, GC_00027665	0.44	0.0476	50	21
