Strain	total_length	gc_content	percent_completion	percent_redundancy	num_genes	avg_gene_length	num_genes_per_kb	singleton_gene_clusters	num_gene_clusters	Ecosystem
Corynebacterium_epidermidicanisstrain_DSM_45586	2692072	0.580607057	98.5915493	-1	2449	976.2629645	0.90970821	502	2373	Host
Corynebacterium_falsenii_DSM_44353strain_BL_8171	2719616	0.631561588	100	1.408450704	2355	1029.347771	0.865931073	512	2246	Host
Corynebacterium_flavescensstrain_OJ8	2758653	0.59916452	100	1.408450704	2539	977.1150059	0.92037672	397	2364	Environment
Corynebacterium_frankenforstense_DSM_45800strain_ST18	2604152	0.715065787	100	1.408450704	2205	1046.955102	0.846724769	413	2175	Host
Corynebacterium_geronticisstrain_W8	2263210	0.585375639	98.5915493	1.408450704	2100	985.7328571	0.927885614	178	2070	Host
Corynebacterium_glaucumstrain_DSM_30827	2518659	0.6297433	98.5915493	2.816901408	2383	969.609316	0.946138401	420	2296	Environment
Corynebacterium_glutamicum_SCgG1strain_SCgG1	3350620	0.539321678	100	1.408450704	3032	966.9300792	0.904907152	179	2922	Environment
Corynebacterium_glyciniphilum_AJ_3170strain_AJ_3170	3568218	0.647505562	98.5915493	1.408450704	3300	979.5336364	0.924831386	847	3170	Environment
Corynebacterium_halotolerans_YIM_70093_DSM_44683	3222008	0.683041165	100	1.408450704	2926	969.4921394	0.90812934	435	2796	Environment
Corynebacterium_humireducens_NBRC_106098___DSM_45392strain_DSM_45392	2681312	0.685703864	100	1.408450704	2591	947.4615978	0.966317982	343	2471	Environment
Corynebacterium_imitans_NCTC13015	2565606	0.642655575	100	1.408450704	2364	990.463198	0.921419735	378	2306	Host
Corynebacterium_jeikeium_LK28	2259654	0.620378607	100	1.408450704	1967	1039.419929	0.870487252	322	1939	Host
Corynebacterium_kroppenstedtii_DSM_44385strain_DSM_44385	2446804	0.574598538	100	-1	2090	1033.027751	0.854175488	792	2059	Host
Corynebacterium_kutscheri_NCTC949	2386509	0.466113055	100	1.408450704	2130	963.9394366	0.892517062	478	2068	Host
Corynebacterium_lactis_RW2_5	2769745	0.605297961	100	1.408450704	2468	1008.27107	0.891056758	426	2382	Host
Corynebacterium_marinum_DSM_44953strain_DSM_44953	2729219	0.677525329	100	1.408450704	2556	966.1913146	0.93653166	110	2465	Environment
Corynebacterium_maris_DSM_45190strain_DSM_45190	2833547	0.665815319	100	1.408450704	2618	972.8491215	0.923930325	423	2543	Host
Corynebacterium_matruchotii	2878842	0.571741346	98.5915493	1.408450704	2527	978.0320538	0.877783498	845	2432	Host
Corynebacterium_minutissimum_NCTC10288	2695970	0.598976621	98.5915493	1.408450704	2468	989.5417342	0.915440454	107	2383	Host
Corynebacterium_mustelaestrain_DSM_45274	3474226	0.525705869	100	1.408450704	3080	989.6045455	0.886528395	1116	2926	Host
Corynebacterium_nuruki_S6_4	3173955	0.693484312	100	1.408450704	2846	1003.626493	0.896673078	524	2733	Environment
Corynebacterium_pelargistrain_136_3	2370062	0.581726201	100	1.408450704	2168	987.4732472	0.914744002	93	2127	Host
Corynebacterium_phocaestrain_M408_89_1	2791883	0.588102955	100	1.408450704	2507	981.4702832	0.897960266	672	2404	Host
Corynebacterium_provencensestrain_17KM38	3111650	0.668950235	100	1.408450704	2698	1039.004077	0.867064098	425	2606	Host
Corynebacterium_pseudopelargistrain_812CH	2348160	0.57906233	100	1.408450704	2202	961.1525886	0.937755519	137	2172	Host
Corynebacterium_pseudotuberculosisstrain_PA07	2337352	0.521816996	100	1.408450704	2104	975.661597	0.900163946	68	2034	Host
Corynebacterium_renale_NCTC11140	2338129	0.592013101	100	1.408450704	2133	992.7229255	0.912267886	545	2094	Host
Corynebacterium_resistens_DSM_45100strain_DSM_45100	2601311	0.570919048	100	1.408450704	2239	1032.987494	0.860719845	440	2119	Host
Corynebacterium_rouxii_FRC0190	2451019	0.532285143	98.5915493	1.408450704	2295	934.6640523	0.936345251	193	2214	Host
Corynebacterium_sanguinis_CCUG58655	2362885	0.652589948	100	1.408450704	2218	961.2944094	0.938683008	220	2128	Host
Corynebacterium_segmentosum_NCTC12011	2373440	0.596336962	100	1.408450704	2167	976.7401938	0.913020763	222	2098	Host
Corynebacterium_simulansstrain_PES1	2737971	0.590080026	98.5915493	4.225352113	2569	963.2569093	0.938286052	193	2448	Host
Corynebacterium_singularestrain_IBS_B52218	2830519	0.601191168	98.5915493	1.408450704	2599	986.9584456	0.918206166	146	2502	Host
Corynebacterium_sp_1959	2510218	0.585530818	98.5915493	-1	2392	960.3085284	0.952905286	525	2353	Environment
Corynebacterium_sp_2019	2887268	0.66302089	100	1.408450704	2679	976.3303471	0.927866758	146	2588	Environment
Corynebacterium_sp_2039	3218058	0.62657696	100	1.408450704	2893	972.1555479	0.89898939	593	2774	Environment
Corynebacterium_sp_2183strain_2183	2511302	0.649265202	98.5915493	2.816901408	2289	950.4849279	0.911479384	382	2166	Host
Corynebacterium_sp_2184strain_2184	2357924	0.661398332	100	1.408450704	2228	956.7818671	0.944898987	299	2157	Host
Corynebacterium_sp_LMM1652	2351892	0.599480758	100	1.408450704	2057	1017.350024	0.874614991	443	2020	Host
Corynebacterium_sp_NML98_0116	2365449	0.607270015	98.5915493	1.408450704	2123	995.1804051	0.897504026	330	2065	Host
Corynebacterium_sp_sy039	2236339	0.475526743	98.5915493	2.816901408	1995	1007.150376	0.892082998	439	1911	Host
Corynebacterium_sphenisci_DSM_44792strain_DSM_44792	2594799	0.747296033	100	-1	2312	1028.901384	0.891013138	662	2271	Host
Corynebacterium_stationisstrain_LMG_21670	2871159	0.548267094	100	1.408450704	2667	957.0742407	0.928893175	214	2526	Environment
Corynebacterium_striatum_LK14	2714795	0.593589571	98.5915493	1.408450704	2531	967.7044646	0.932298756	191	2441	Host
Corynebacterium_suranareeae_N24	3537507	0.518172261	100	2.816901408	3167	968.9450584	0.895263246	360	3069	Environment
Corynebacterium_terpenotabidum_Y_11	2751233	0.670175881	100	1.408450704	2420	1026.992975	0.879605617	281	2367	Environment
Corynebacterium_testudinorisstrain_DSM_44614	2721226	0.631383795	100	1.408450704	2563	966.0772532	0.941854885	346	2476	Host
Corynebacterium_ulceransstrain_131002	2434569	0.533764703	100	1.408450704	2160	993.9791667	0.887220695	115	2132	Host
Corynebacterium_urealyticum_DSM_7109	2369219	0.641852442	100	1.408450704	2014	1045.476167	0.850069158	445	1929	Host
Corynebacterium_ureicelerivoransstrain_IMMIB_RIV_2301	2328278	0.650066919	98.5915493	1.408450704	2265	930.9748344	0.972821974	308	2093	Host
Corynebacterium_uterequistrain_DSM_45634	2419437	0.654979237	100	1.408450704	2147	1004.629716	0.887396531	500	2085	Host
Corynebacterium_variabile_DSM_44702	3433007	0.671459161	100	1.408450704	3187	965.6055852	0.928340665	512	2938	Environment
Corynebacterium_vitaeruminis_DSM_20294strain_DSM_20294	2931780	0.655252782	100	1.408450704	2611	981.5630027	0.890585242	542	2531	Host
Corynebacterium_xerosisstrain_GS_1	2738835	0.692932944	100	-1	2384	1018.562919	0.87044309	610	2341	Host
