species,genes.Inclusion,genes.GeneName,genes.KO,genes.Threshold,genes.Score,genes.Evalue,genes.KODefinition,Gene ID,Gene Description
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01534,K02303,259.40,306.7,4.2e-92,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01537,K02224,128.03,606.5,7.3e-183,"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]",cobB/cbiA,"cobyrinic acid a,c-diamide synthase"
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01538,K19221,114.37,225.5,1.2e-67,cob(I)alamin adenosyltransferase [EC:2.5.1.17],cobA/btuR,cob(I)alamin adenosyltransferase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01547,K02232,241.80,650.2,6.1e-196,adenosylcobyric acid synthase [EC:6.3.5.10],cobQ/cbiP,adenosylcobyric acid synthase 
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01719,K02231,47.07,204.4,4e-61,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62],cobP/cobU,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01720,K00768,120.60,492.1,3.4e-148,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01721,K02233,72.47,149.5,2.1e-44,adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26],cobS/cobV,adenosylcobinamide-GDP ribazoletransferase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01747,K22316,318.33,479.1,2e-144,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01754,K02227,96.90,334.6,1.2e-100,adenosylcobinamide-phosphate synthase [EC:6.3.1.10],cobD/cbiB,adenosylcobinamide-phosphate synthase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_02037,K00798,37.20,248.2,9.9e-75,cob(I)alamin adenosyltransferase [EC:2.5.1.17],pduO,cob(I)alamin adenosyltransferase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_02120,K04719,214.00,294.8,1.5e-88,"5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]",bluB,"5,6-dimethylbenzimidazole synthase "
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_00191,K02492,72.67,401.3,9.8e-121,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_00192,K01749,112.17,342.3,4.2e-103,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_00193,K13542,412.30,647.7,3.2e-195,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_00194,K01698,175.97,566.3,1e-170,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_00198,K01845,309.63,610.1,6.2e-184,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_00493,K02228,126.63,333.5,1.9e-100,precorrin-6A synthase [EC:2.1.1.152],cobF,precorrin-6A synthase 
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_00950,K02230,1031.53,1502.4,0,cobaltochelatase CobN [EC:6.6.1.2],cobN,cobaltochelatase CobN
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_00951,K02229,272.23,388.5,4.3e-117,precorrin-3B synthase [EC:1.14.13.83],cobG,precorrin-3B synthase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_00952,K06042,132.10,291.1,1.2e-87,precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60],cobH/cbiC,precorrin-8X/cobalt-precorrin-8 methylmutase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_00953,K13540,602.20,729.0,2.7e-220,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131],cobIJ,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_00955,K05895,156.53,337.4,1.5e-101,precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106],cobK/cbiJ,precorrin-6A/cobalt-precorrin-6A reductase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_00956,K05936,231.50,387.0,1.5e-116,precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271],cobM/cbiF,precorrin-4/cobalt-precorrin-4 C11-methyltransferase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_00957,K00595,219.93,392.0,3.7e-118,"precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]",cobL/cbiET,"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase"
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_01190,K02303,259.40,306.1,5e-92,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_01191,K02224,128.03,612.3,1e-184,"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]",cobB/cbiA,"cobyrinic acid a,c-diamide synthase"
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_01192,K19221,114.37,225.5,8.8e-68,cob(I)alamin adenosyltransferase [EC:2.5.1.17],cobA/btuR,cob(I)alamin adenosyltransferase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_01204,K02232,241.80,679.5,6.3e-205,adenosylcobyric acid synthase [EC:6.3.5.10],cobQ/cbiP,adenosylcobyric acid synthase 
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_01382,K02231,47.07,194.5,3.1e-58,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62],cobP/cobU,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_01383,K00768,120.60,480.8,6.8e-145,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_01384,K02233,72.47,156.9,9.3e-47,adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26],cobS/cobV,adenosylcobinamide-GDP ribazoletransferase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_01407,K22316,318.33,457.0,8e-138,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_01418,K02227,96.90,331.9,6.5e-100,adenosylcobinamide-phosphate synthase [EC:6.3.1.10],cobD/cbiB,adenosylcobinamide-phosphate synthase
Corynebacterium_argentoratense_DSM_44202,*,Corynebacterium_argentoratense_DSM_44202_01677,K00798,37.20,224.4,1.4e-67,cob(I)alamin adenosyltransferase [EC:2.5.1.17],pduO,cob(I)alamin adenosyltransferase
Corynebacterium_atypicumstrain_R2070,*,Corynebacterium_atypicumstrain_R2070_00345,K02492,72.67,487.0,1.3e-146,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_atypicumstrain_R2070,*,Corynebacterium_atypicumstrain_R2070_00346,K01749,112.17,363.2,2.2e-109,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_atypicumstrain_R2070,*,Corynebacterium_atypicumstrain_R2070_00348,K13542,412.30,639.9,8.1e-193,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_atypicumstrain_R2070,*,Corynebacterium_atypicumstrain_R2070_00349,K01698,175.97,544.6,4.4e-164,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_atypicumstrain_R2070,*,Corynebacterium_atypicumstrain_R2070_00355,K01845,309.63,605.0,2.5e-182,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_atypicumstrain_R2070,*,Corynebacterium_atypicumstrain_R2070_00868,K02303,259.40,309.6,5.1e-93,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_atypicumstrain_R2070,*,Corynebacterium_atypicumstrain_R2070_01556,K00768,120.60,234.1,3.8e-70,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_atypicumstrain_R2070,*,Corynebacterium_atypicumstrain_R2070_01583,K22316,318.33,466.4,1.3e-140,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_aurimucosum_ATCC_700975,*,Corynebacterium_aurimucosum_ATCC_700975_00321,K02492,72.67,471.5,8.1e-142,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_aurimucosum_ATCC_700975,*,Corynebacterium_aurimucosum_ATCC_700975_00322,K01749,112.17,349.0,5.3e-105,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_aurimucosum_ATCC_700975,*,Corynebacterium_aurimucosum_ATCC_700975_00323,K13542,412.30,641.5,3.3e-193,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_aurimucosum_ATCC_700975,*,Corynebacterium_aurimucosum_ATCC_700975_00324,K01698,175.97,568.8,2.7e-171,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_aurimucosum_ATCC_700975,*,Corynebacterium_aurimucosum_ATCC_700975_00345,K01845,309.63,614.3,4.9e-185,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_aurimucosum_ATCC_700975,*,Corynebacterium_aurimucosum_ATCC_700975_00707,K02303,259.40,310.8,2.7e-93,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_aurimucosum_ATCC_700975,*,Corynebacterium_aurimucosum_ATCC_700975_01788,K00768,120.60,194.0,6.6e-58,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_aurimucosum_ATCC_700975,*,Corynebacterium_aurimucosum_ATCC_700975_01828,K22316,318.33,477.0,9.4e-144,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_callunae_DSM_20147,*,Corynebacterium_callunae_DSM_20147_00382,K02492,72.67,470.9,1.2e-141,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_callunae_DSM_20147,*,Corynebacterium_callunae_DSM_20147_00383,K01749,112.17,374.9,7.7e-113,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_callunae_DSM_20147,*,Corynebacterium_callunae_DSM_20147_00388,K13542,412.30,663.1,9.8e-200,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_callunae_DSM_20147,*,Corynebacterium_callunae_DSM_20147_00390,K01698,175.97,553.1,1.6e-166,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_callunae_DSM_20147,*,Corynebacterium_callunae_DSM_20147_00396,K01845,309.63,602.7,1.6e-181,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_callunae_DSM_20147,*,Corynebacterium_callunae_DSM_20147_01407,K00595,219.93,318.2,1.3e-95,"precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]",cobL/cbiET,"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase"
Corynebacterium_callunae_DSM_20147,*,Corynebacterium_callunae_DSM_20147_01743,K02303,259.40,329.6,5.2e-99,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_callunae_DSM_20147,*,Corynebacterium_callunae_DSM_20147_01916,K00768,120.60,418.7,6.2e-126,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_callunae_DSM_20147,*,Corynebacterium_callunae_DSM_20147_01945,K22316,318.33,535.4,1.8e-161,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_callunae_DSM_20147,*,Corynebacterium_callunae_DSM_20147_02219,K00798,37.20,237.6,1.9e-71,cob(I)alamin adenosyltransferase [EC:2.5.1.17],pduO,cob(I)alamin adenosyltransferase
Corynebacterium_camporealensisstrain_DSM_44610,*,Corynebacterium_camporealensisstrain_DSM_44610_00265,K02492,72.67,476.0,2.9e-143,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_camporealensisstrain_DSM_44610,*,Corynebacterium_camporealensisstrain_DSM_44610_00266,K01749,112.17,357.0,1.7e-107,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
